seed,topology_model,n_cells,n_sites,missing_rate,mutation_rate,repeat,triplet_samples_requested,possible_triplets,simulation_seconds,sampled_triplets_inferred,sampled_triplet_coverage,algorithm,triplet_accuracy,rf_similarity,triplet_inference_seconds,solve_seconds,evaluation_seconds,status,error
305122048,random_binary_leaf_splitting,512,30,0.1,0.8,22,50000,22238720,0.25342509499978405,48432,0.96864,VanillaGreedy,0.7628,0.01962708537782143,0.0,1.160330133000116,0.8995951209999475,ok,
305122048,random_binary_leaf_splitting,512,30,0.1,0.8,22,50000,22238720,0.25342509499978405,48432,0.96864,UPGMA,0.6486,0.04705882352941182,0.0,1.4121893940000518,0.6311671640000895,ok,
305122048,random_binary_leaf_splitting,512,30,0.1,0.8,22,50000,22238720,0.25342509499978405,48432,0.96864,NeighborJoining,0.6242,0.039215686274509776,0.0,1.2384523770001579,0.7390381650002382,ok,
305122049,random_binary_leaf_splitting,512,30,0.1,0.8,23,50000,22238720,0.23301312900002813,48323,0.96646,SampledRecursiveTMC_SMJ32,0.479,0.0,1.634227256000031,65.19338793999987,0.8464853079999557,ok,
305122049,random_binary_leaf_splitting,512,30,0.1,0.8,23,50000,22238720,0.23301312900002813,48323,0.96646,VanillaGreedy,0.5198,0.03137254901960784,0.0,0.9509716160000607,0.7063806329997533,ok,
305122049,random_binary_leaf_splitting,512,30,0.1,0.8,23,50000,22238720,0.23301312900002813,48323,0.96646,UPGMA,0.499,0.04705882352941182,0.0,1.4877323149999029,0.7618755969997437,ok,
305122049,random_binary_leaf_splitting,512,30,0.1,0.8,23,50000,22238720,0.23301312900002813,48323,0.96646,NeighborJoining,0.3858,0.0490196078431373,0.0,1.178263268000137,0.6328537500003222,ok,
305122050,random_binary_leaf_splitting,512,30,0.1,0.8,24,50000,22238720,0.22559491399988474,48351,0.96702,SampledRecursiveTMC_SMJ32,0.5026,0.0,1.5014422409999497,64.14146756499986,0.8394304169996758,ok,
305122050,random_binary_leaf_splitting,512,30,0.1,0.8,24,50000,22238720,0.22559491399988474,48351,0.96702,VanillaGreedy,0.6446,0.015686274509803977,0.0,1.2190560280000682,0.7962718130002031,ok,
305122050,random_binary_leaf_splitting,512,30,0.1,0.8,24,50000,22238720,0.22559491399988474,48351,0.96702,UPGMA,0.569,0.039215686274509776,0.0,1.2922696549999273,0.6689447339999788,ok,
305122050,random_binary_leaf_splitting,512,30,0.1,0.8,24,50000,22238720,0.22559491399988474,48351,0.96702,NeighborJoining,0.338,0.04313725490196074,0.0,1.4300557820001814,0.7704522720000568,ok,
305122051,random_binary_leaf_splitting,512,30,0.1,0.8,25,50000,22238720,0.21362630499970692,48320,0.9664,SampledRecursiveTMC_SMJ32,0.6256,0.0,1.5791664039998068,58.494940587999736,0.6173737300000539,ok,
305122051,random_binary_leaf_splitting,512,30,0.1,0.8,25,50000,22238720,0.21362630499970692,48320,0.9664,VanillaGreedy,0.6718,0.039215686274509776,0.0,1.041421888000059,0.7508932979999372,ok,
305122051,random_binary_leaf_splitting,512,30,0.1,0.8,25,50000,22238720,0.21362630499970692,48320,0.9664,UPGMA,0.7262,0.05490196078431375,0.0,1.3006440750000365,0.7657906499998717,ok,
305122051,random_binary_leaf_splitting,512,30,0.1,0.8,25,50000,22238720,0.21362630499970692,48320,0.9664,NeighborJoining,0.5516,0.056862745098039236,0.0,1.291026174000308,0.7433193779997964,ok,
305122052,random_binary_leaf_splitting,512,30,0.1,0.8,26,50000,22238720,0.2516809489998195,48324,0.96648,SampledRecursiveTMC_SMJ32,0.4482,0.0,2.0571222919998036,65.36007010599997,0.6907932219996837,ok,
305122052,random_binary_leaf_splitting,512,30,0.1,0.8,26,50000,22238720,0.2516809489998195,48324,0.96648,VanillaGreedy,0.6626,0.001962708537782132,0.0,0.9528001989997392,0.7849860389997048,ok,
305122052,random_binary_leaf_splitting,512,30,0.1,0.8,26,50000,22238720,0.2516809489998195,48324,0.96648,UPGMA,0.5034,0.01764705882352946,0.0,1.2078269670000736,0.9904961859997456,ok,
